1-num-1,Un groupe d'enfants joue dans une cour et un vieil homme se tient en arrière-plan
1-num-2,Un groupe de garçons dans une cour joue et un homme se tient en arrière-plan
2-num-1,Un groupe d'enfants joue dans la maison et il n'y a pas d'homme debout en arrière-plan
2-num-2,Un groupe d'enfants joue dans une cour et un vieil homme se tient en arrière-plan
3-num-1,Les jeunes garçons jouent à l'extérieur et l'homme sourit à proximité
3-num-2,Les enfants jouent à l'extérieur près d'un homme avec un sourire
4-num-1,Les jeunes garçons jouent à l'extérieur et l'homme sourit à proximité
4-num-2,Il n'y a pas de garçon qui joue à l'extérieur et il n'y a pas d'homme souriant
5-num-1,Les enfants jouent à l'extérieur près d'un homme avec un sourire
5-num-2,Un groupe d'enfants joue dans une cour et un vieil homme se tient en arrière-plan
6-num-1,Il n'y a pas de garçon qui joue à l'extérieur et il n'y a pas d'homme souriant
6-num-2,Un groupe d'enfants joue dans une cour et un vieil homme se tient en arrière-plan
7-num-1,Un groupe de garçons dans une cour joue et un homme se tient en arrière-plan
7-num-2,Les jeunes garçons jouent à l'extérieur et l'homme sourit à proximité
8-num-1,Un groupe d'enfants joue dans la maison et il n'y a pas d'homme debout en arrière-plan
8-num-2,Les jeunes garçons jouent à l'extérieur et l'homme sourit à proximité
9-num-1,Les jeunes garçons jouent à l'extérieur et l'homme sourit à proximité
9-num-2,Un groupe d'enfants joue dans une cour et un vieil homme se tient en arrière-plan
10-num-1,Un chien brun attaque un autre animal devant le grand homme en pantalon
10-num-2,Un chien brun attaque un autre animal devant l'homme en pantalon
11-num-1,Un chien brun attaque un autre animal devant l'homme en pantalon
11-num-2,Un chien brun aide un autre animal devant l'homme en pantalon
12-num-1,Deux chiens se battent
12-num-2,Deux chiens luttent et se serrent étreintes
13-num-1,Deux chiens luttent et se serrent étreintes
13-num-2,Il n'y a pas de lutte et de câlins de chien
14-num-1,Un chien brun attaque un autre animal devant l'homme en pantalon
14-num-2,Deux chiens se battent
15-num-1,Un chien brun attaque un autre animal devant l'homme en pantalon
15-num-2,Il n'y a pas de lutte et de câlins de chien
16-num-1,Deux chiens luttent et se serrent étreintes
16-num-2,Un chien brun attaque un autre animal devant le grand homme en pantalon
17-num-1,Deux chiens luttent et se serrent étreintes
17-num-2,Un chien brun aide un autre animal devant l'homme en pantalon
18-num-1,Un chien brun attaque un autre animal devant l'homme en pantalon
18-num-2,Deux chiens luttent et se serrent étreintes
19-num-1,Une personne dans une veste noire fait des tours sur une moto
19-num-2,Un homme dans une veste noire fait des tours sur une moto
20-num-1,Il n'y a pas d'homme dans une veste noire faisant des tours sur une moto
20-num-2,Une personne dans une veste noire fait des tours sur une moto
21-num-1,Une personne dans une veste noire fait des tours sur une moto
21-num-2,Une personne sur une moto noire fait des tours avec une veste
22-num-1,Une personne qualifiée fait du vélo sur une seule roue
22-num-2,Une personne fait du vélo sur une seule roue
23-num-1,Personne ne fait du vélo sur une seule roue
23-num-2,Une personne fait du vélo sur une seule roue
24-num-1,Une personne dans une veste noire fait des tours sur une moto
24-num-2,Une personne qualifiée fait du vélo sur une seule roue
25-num-1,Personne ne fait du vélo sur une seule roue
25-num-2,Une personne dans une veste noire fait des tours sur une moto
26-num-1,Une personne fait du vélo sur une seule roue
26-num-2,Un homme dans une veste noire fait des tours sur une moto
27-num-1,Une personne fait du vélo sur une seule roue
27-num-2,Il n'y a pas d'homme dans une veste noire faisant des tours sur une moto
28-num-1,Une personne sur une moto noire fait des tours avec une veste
28-num-2,Une personne fait du vélo sur une seule roue
29-num-1,Une personne fait du vélo sur une seule roue
29-num-2,Une personne dans une veste noire fait des tours sur une moto
30-num-1,Un homme avec un maillot est de trempé le ballon lors d'un match de basket-ball
30-num-2,Le ballon est trempé par un homme avec un maillot lors d'un match de basket-ball
31-num-1,Un homme avec un maillot est de trempé le ballon lors d'un match de basket-ball
31-num-2,Il n'y a pas d'homme qui trempe le ballon à un match de basket
32-num-1,Le jeu de basket-ball est constitué d'une balle trempée par un homme avec un maillot
32-num-2,Un homme avec un maillot est de trempé le ballon lors d'un match de basket-ball
33-num-1,Un homme qui joue des dunks le basket-ball dans le filet et une foule est en arrière-plan
33-num-2,Le joueur trempe le basket-ball dans le filet et une foule est en arrière-plan
34-num-1,Le joueur manque le panier et une foule est en arrière-plan
34-num-2,Le joueur trempe le basket-ball dans le filet et une foule est en arrière-plan
35-num-1,Un homme avec un maillot est de trempé le ballon lors d'un match de basket-ball
35-num-2,Un homme qui joue des dunks le basket-ball dans le filet et une foule est en arrière-plan
36-num-1,Un homme avec un maillot est de trempé le ballon lors d'un match de basket-ball
36-num-2,Le joueur manque le panier et une foule est en arrière-plan
37-num-1,Le joueur trempe le basket-ball dans le filet et une foule est en arrière-plan
37-num-2,Le ballon est trempé par un homme avec un maillot lors d'un match de basket-ball
38-num-1,Il n'y a pas d'homme qui trempe le ballon à un match de basket
38-num-2,Le joueur trempe le basket-ball dans le filet et une foule est en arrière-plan
39-num-1,Le jeu de basket-ball est constitué d'une balle trempée par un homme avec un maillot
39-num-2,Le joueur trempe le basket-ball dans le filet et une foule est en arrière-plan
