1-num-1, A group of kids is playing in a yard and an old man is standing in the background
1-num-2, A group of boys in a yard is playing and a man is standing in the background
2-num-1, A group of children is playing in the house and there is no man standing in the background
2-num-2, A group of kids is playing in a yard and an old man is standing in the background
3-num-1, The young boys are playing outdoors and the man is smiling nearby
3-num-2, The kids are playing outdoors near a man with a smile
4-num-1, The young boys are playing outdoors and the man is smiling nearby
4-num-2, There is no boy playing outdoors and there is no man smiling
5-num-1, The kids are playing outdoors near a man with a smile
5-num-2, A group of kids is playing in a yard and an old man is standing in the background
6-num-1, There is no boy playing outdoors and there is no man smiling
6-num-2, A group of kids is playing in a yard and an old man is standing in the background
7-num-1, A group of boys in a yard is playing and a man is standing in the background
7-num-2, The young boys are playing outdoors and the man is smiling nearby
8-num-1, A group of children is playing in the house and there is no man standing in the background
8-num-2, The young boys are playing outdoors and the man is smiling nearby
9-num-1, The young boys are playing outdoors and the man is smiling nearby
9-num-2, A group of kids is playing in a yard and an old man is standing in the background
10-num-1, A brown dog is attacking another animal in front of the tall man in pants
10-num-2, A brown dog is attacking another animal in front of the man in pants
11-num-1, A brown dog is attacking another animal in front of the man in pants
11-num-2, A brown dog is helping another animal in front of the man in pants
12-num-1, Two dogs are fighting
12-num-2, Two dogs are wrestling and hugging
13-num-1, Two dogs are wrestling and hugging
13-num-2, There is no dog wrestling and hugging
14-num-1, A brown dog is attacking another animal in front of the man in pants
14-num-2, Two dogs are fighting
15-num-1, A brown dog is attacking another animal in front of the man in pants
15-num-2, There is no dog wrestling and hugging
16-num-1, Two dogs are wrestling and hugging
16-num-2, A brown dog is attacking another animal in front of the tall man in pants
17-num-1, Two dogs are wrestling and hugging
17-num-2, A brown dog is helping another animal in front of the man in pants
18-num-1, A brown dog is attacking another animal in front of the man in pants
18-num-2, Two dogs are wrestling and hugging
19-num-1, A person in a black jacket is doing tricks on a motorbike
19-num-2, A man in a black jacket is doing tricks on a motorbike
20-num-1, There is no man in a black jacket doing tricks on a motorbike
20-num-2, A person in a black jacket is doing tricks on a motorbike
21-num-1, A person in a black jacket is doing tricks on a motorbike
21-num-2, A person on a black motorbike is doing tricks with a jacket
22-num-1, A skilled person is riding a bicycle on one wheel
22-num-2, A person is riding the bicycle on one wheel
23-num-1, Nobody is riding the bicycle on one wheel
23-num-2, A person is riding the bicycle on one wheel
24-num-1, A person in a black jacket is doing tricks on a motorbike
24-num-2, A skilled person is riding a bicycle on one wheel
25-num-1, Nobody is riding the bicycle on one wheel
25-num-2, A person in a black jacket is doing tricks on a motorbike
26-num-1, A person is riding the bicycle on one wheel
26-num-2, A man in a black jacket is doing tricks on a motorbike
27-num-1, A person is riding the bicycle on one wheel
27-num-2, There is no man in a black jacket doing tricks on a motorbike
28-num-1, A person on a black motorbike is doing tricks with a jacket
28-num-2, A person is riding the bicycle on one wheel
29-num-1, A person is riding the bicycle on one wheel
29-num-2, A person in a black jacket is doing tricks on a motorbike
30-num-1, A man with a jersey is dunking the ball at a basketball game
30-num-2, The ball is being dunked by a man with a jersey at a basketball game
31-num-1, A man with a jersey is dunking the ball at a basketball game
31-num-2, There is no man dunking the ball at a basketball game
32-num-1, The game of basketball consists of a ball being dunked by a man with a jersey
32-num-2, A man with a jersey is dunking the ball at a basketball game
33-num-1, A man who is playing dunks the basketball into the net and a crowd is in background
33-num-2, The player is dunking the basketball into the net and a crowd is in background
34-num-1, The player is missing the basket and a crowd is in background
34-num-2, The player is dunking the basketball into the net and a crowd is in background
35-num-1, A man with a jersey is dunking the ball at a basketball game
35-num-2, A man who is playing dunks the basketball into the net and a crowd is in background
36-num-1, A man with a jersey is dunking the ball at a basketball game
36-num-2, The player is missing the basket and a crowd is in background
37-num-1, The player is dunking the basketball into the net and a crowd is in background
37-num-2, The ball is being dunked by a man with a jersey at a basketball game
38-num-1, There is no man dunking the ball at a basketball game
38-num-2, The player is dunking the basketball into the net and a crowd is in background
39-num-1, The game of basketball consists of a ball being dunked by a man with a jersey
39-num-2, The player is dunking the basketball into the net and a crowd is in background
40-num-1, The player is dunking the basketball into the net and a crowd is in background
40-num-2, A man with a jersey is dunking the ball at a basketball game
41-num-1, Two people are kickboxing and spectators are watching
41-num-2, Two people are fighting and spectators are watching
42-num-1, Two people are kickboxing and spectators are not watching
42-num-2, Two people are kickboxing and spectators are watching
43-num-1, Two spectators are kickboxing and some people are watching
43-num-2, Two people are kickboxing and spectators are watching
44-num-1, Two young women are sparring in a kickboxing fight
44-num-2, Two women are sparring in a kickboxing match
